#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-12-01 15:50:36 EST      (vaww02)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 01073500 LAMPREY RIVER NEAR NEWMARKET, NH
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		63999	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	01073500	00060	63999	1935	293.4
USGS	01073500	00060	63999	1936	323.9
USGS	01073500	00060	63999	1937	297.8
USGS	01073500	00060	63999	1938	427.6
USGS	01073500	00060	63999	1939	310.9
USGS	01073500	00060	63999	1940	241.9
USGS	01073500	00060	63999	1941	162.7
USGS	01073500	00060	63999	1942	169.6
USGS	01073500	00060	63999	1943	243.4
USGS	01073500	00060	63999	1944	215.9
USGS	01073500	00060	63999	1945	345.2
USGS	01073500	00060	63999	1946	265.3
USGS	01073500	00060	63999	1947	239.9
USGS	01073500	00060	63999	1948	223.4
USGS	01073500	00060	63999	1949	174.7
USGS	01073500	00060	63999	1950	177.5
USGS	01073500	00060	63999	1951	327.1
USGS	01073500	00060	63999	1952	424.7
USGS	01073500	00060	63999	1953	376.5
USGS	01073500	00060	63999	1954	377.6
USGS	01073500	00060	63999	1955	306.5
USGS	01073500	00060	63999	1956	353.2
USGS	01073500	00060	63999	1957	152.3
USGS	01073500	00060	63999	1958	329.9
USGS	01073500	00060	63999	1959	216.4
USGS	01073500	00060	63999	1960	348.6
USGS	01073500	00060	63999	1961	277.2
USGS	01073500	00060	63999	1962	214
USGS	01073500	00060	63999	1963	281.9
USGS	01073500	00060	63999	1964	253.6
USGS	01073500	00060	63999	1965	136.9
USGS	01073500	00060	63999	1966	148
USGS	01073500	00060	63999	1967	289.5
USGS	01073500	00060	63999	1968	259.1
USGS	01073500	00060	63999	1969	302.2
USGS	01073500	00060	63999	1970	343.3
USGS	01073500	00060	63999	1971	253.5
USGS	01073500	00060	63999	1972	333.2
USGS	01073500	00060	63999	1973	424.5
USGS	01073500	00060	63999	1974	284.9
USGS	01073500	00060	63999	1975	254.9
USGS	01073500	00060	63999	1976	341.8
USGS	01073500	00060	63999	1977	246.9
USGS	01073500	00060	63999	1978	351.7
USGS	01073500	00060	63999	1979	292.6
USGS	01073500	00060	63999	1980	222.9
USGS	01073500	00060	63999	1981	218.4
USGS	01073500	00060	63999	1982	367.8
USGS	01073500	00060	63999	1983	373.6
USGS	01073500	00060	63999	1984	441.1
USGS	01073500	00060	63999	1985	141.9
USGS	01073500	00060	63999	1986	260.3
USGS	01073500	00060	63999	1987	368.6
USGS	01073500	00060	63999	1988	241.3
USGS	01073500	00060	63999	1989	270.1
USGS	01073500	00060	63999	1990	290.3
USGS	01073500	00060	63999	1991	310.7
USGS	01073500	00060	63999	1992	258.3
USGS	01073500	00060	63999	1993	266.6
USGS	01073500	00060	63999	1994	272.5
USGS	01073500	00060	63999	1995	191.8
USGS	01073500	00060	63999	1996	360.7
USGS	01073500	00060	63999	1997	390.8
USGS	01073500	00060	63999	1998	353.1
USGS	01073500	00060	63999	1999	173.1
USGS	01073500	00060	63999	2000	291.1
USGS	01073500	00060	63999	2001	244.6
USGS	01073500	00060	63999	2002	138.7
USGS	01073500	00060	63999	2003	263.8
USGS	01073500	00060	63999	2004	309.2
USGS	01073500	00060	63999	2005	355.4
USGS	01073500	00060	63999	2006	570.3
USGS	01073500	00060	63999	2007	432.2
USGS	01073500	00060	63999	2008	386.8
USGS	01073500	00060	63999	2009	424.2
USGS	01073500	00060	63999	2010	412.6
USGS	01073500	00060	63999	2011	289.2
USGS	01073500	00060	63999	2012	276.6
USGS	01073500	00060	63999	2013	280.4
USGS	01073500	00060	63999	2014	261.9
USGS	01073500	00060	63999	2015	232.6
USGS	01073500	00060	63999	2016	187.1
USGS	01073500	00060	63999	2017	271.3
USGS	01073500	00060	63999	2018	302.8
USGS	01073500	00060	63999	2019	385.7
USGS	01073500	00060	63999	2020	262.7

